"","ARE","ARG","AUT","BGR","BOL","BRA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HUN","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LVA","MEX","MKD","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SAU","SDN","SLV","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","ZAF","ZMB","ZWE","AUS","AZE","BIH","BLR","CYP","DZA","EGY","ETH","HRV","JOR","JPN","KEN","KGZ","LTU","MNE","MUS","NCL","SEN","SGP","SRB","SYR","TUN","ARM","MAC","MDG","MLT","MWI","NIC","TGO","VNM","GRL","ISL","MLI","ABW","AFG","AGO","ALB","BDI","BEN","BFA","BGD","BHR","BHS","BLZ","BMU","BRB","CAF","CMR","COD","COG","CUB","DJI","ERI","GAB","GEO","GHA","GIN","GMB","GNQ","GUM","HND","HTI","IDN","IND","IRN","IRQ","KAZ","KIR","KWT","LAO","LBR","LBY","MAR","MDA","MMR","MNG","MOZ","MRT","MYS","NER","NGA","NPL","OMN","PHL","PNG","PRK","PSE","QAT","RWA","SLE","SMR","SOM","SUR","SYC","TCD","TJK","TKM","TLS","UKR","UZB","VEN","GIB","GNB","KNA","MHL","MNP","WSM","FLK","ASM","ATA","FSM","PLW","SHN","SPM","ATF","TKL","VAT","HMD","SGS"
"HND",476367,297937.69,8219930.29,1930555.81,61421.1,6610389.47,139916428.86,18097970.77,2736396.52,15366319.14,42716.68,6864994.28,79353089.65,4681093.81,230570984.58,6803945.68,35497640.24,2694342.35,56186851.86,1003764.93,13948486.87,0,40749219.46,75687317.33,403936.43,345266210.3,45179.47,2733437.14,12000,4103963.9,671068.3,23795543.87,17310617.74,0,35567745.47,427593.02,3896,2228,243106655.04,19877.34,53661397.94,2103618.69,1170588.2,66263.7,29163512.68,724424.19,8561840.6,9536766.96,48998,721039.62,4985851.81,3760809.67,1735939.04,368196033.34,3340888.86,575602.4,17133531.93,1731567.29,1717142.25,1607561.62,31683.96,0,125887.06,4079676563.84,829636,0,0,9663644.71,199153,90551,78272.37,88328,122135,21783.96,0,1195072.26,0,34063583.63,0,2186,41452,40409.85,29750.19,40549,0,1537853.87,948073.61,55706.87,0,158951.98,50367,3674,0,0,96624255.34,2308278.68,2970219.04,2199,224232.05,6946.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71496.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,26384,41949.52,6225,43811,1436254.75,18082148.49,4091123.41,196403.47,7110023.06,0,201963,22071,23710.12,1570534.25,110992.04,61342646.36,0,2856604.78,1113,22761.04,39206,12533039.11,6883942.23,13285,4490,38152.22,526992.88,1000,139829,1977.17,1396293.25,53371.24,0,5400975.48,0,0,1209,7505691.24,0,214196.74,0,429197,0,41846.79,16123,128860.09,1155,25768.56,1721,71078.55,0,0,741857.37,24808,1879,102857.11,18047037.17,188702.21,301685.29,17975,2033,0,438648501.14,416337,0,0,1229017.75,0,9777,3086.09,0,7958,0,0,13491.67,0,1639329.14,0,0,0,0,41978.24,58388,0,0,1057,0,0,0,2136.06,0,0,0,2180,0,6995130.96,0,10139,7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",1678347524.4,235242002.37,270915488.47,60852124.03,9120467.33,1081067511.58,940596451.32,178504922.07,196183407.99,13204729596.98,26558653.9,119269218.55,13866387.84,261819230.78,4497067654.65,225006883.92,24736507.29,36709924.9,2462611621.06,31309736.32,186491334.08,20629821.37,2094007977.35,2533833479.68,227543475.16,14460735.35,756921.34,2154709731.28,89668356.12,161253264.75,259816998.26,2441276833.25,9993313.29,94064989.45,10559579537.85,77659646.86,272646467.61,10358136.05,874432722.96,103451946.77,2882738704.56,171110197.92,761541808.31,1105729262.63,83147813.35,82543724.88,530533645.88,123152311.86,12272379.38,97777314.97,778437860.91,702003711.07,16548817.98,10298596.88,175608018.06,130917089.2,127441585.57,5125896203.39,19341249.51,1376501017.21,88522899.78,26604225.56,10569913.36,15781562643.16,639553729.41,3753618.77,912875.76,3932879171.71,5297101.28,8634528.82,55662350.31,21328088.86,385589534,723214774.26,95164280.21,62691626.34,191167178.27,30472268420.76,316880037.1,1401197.75,11293261.21,4583237.62,101896727.5,25625653.01,17452407.58,11050290269.39,52310184.81,68125854.47,105113015.68,35667986.8,27561225.71,67885402.64,4015746.53,14634277.29,7114204.64,22432774.34,1549884501.93,131064.16,7567253.04,5485663.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948803.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",16675246344.59,484846345.79,607033020.48,119577062.56,25778334.14,3428861249.05,1889493045.7,967303676.93,475803738.23,17777397309.65,129053940.93,383755113.28,49509601.84,493299957.28,7572742510.5,699783847.77,39282449.64,116041756.2,3404752649.77,50247251.26,318584313.7,54212881.39,4940304575.49,8422704028.3,673404748.89,126746260.75,21136134.38,1991306293,542920903.9,385129266.1,524114235.47,4884452316.86,23864976.66,83800139.71,6262828189.53,219667205.06,2730332251.98,30985640.7,1258997824.15,39412479.83,3269418976.24,337862359.39,213729987.03,1637797000.86,86510907.76,491878341.76,962679845.320001,670784212.39,51189479.17,588941831.44,1686139606.69,2487121060.16,538722929.93,29430493.46,146077750.45,173727366.9,736743599.15,2125745523.23,58708536.2,2421117551.58,831248631.62,457964675.56,73014855.54,21313094468.4,2328444950.02,189926017.84,31144009.49,1320499571.99,104956476.34,35952352.51,115958481.27,67803638.76,749268190,1710867566.81,619574846.15,134976761.07,479553395.07,4680413262.95,1266847432.02,13774445.85,37021949.87,8116830.47,1061350500.57,8300577.03,136140715.93,7363715756.32,112934363.29,356378926.51,215049443.93,48397868.26,3544848.37,174403500.09,45914373.17,105054061.06,83406273.12,19202856.29,1722332297.2,875013.8,28736839.75,63810430.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9700029.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",1025219574.15,7915516.25,200415838.95,14745222.48,253238.64,14142326.06,35644007.18,21702394.99,1525581.15,18171658051.09,10801257.59,1048474.3,279807.47,12799562.93,805475297.28,9078541.99,40040.36,186927899.86,4289115766.93,1542086.52,3342567.42,2201026.69,3274763114.38,101008062.52,2795039882.61,410347.86,884169.1,178723524.11,3715774.77,7154209.52,5920.45,5383030298.94,164956.51,202617.75,7638569684.1,43028770.44,1114679357.27,963615.89,17733409.43,3189967.3,748233365.56,11911236.71,128976813.63,689473047.33,471189.04,30783827.08,41717301.47,385490856.75,3921.53,75381545.46,383649538.74,443695021.14,20531207.11,30327.25,5687340.2,9462747.79,12610919.55,226104415.59,1699453.57,5928189384.19,31760019.89,7260873.17,1278324.55,91691147.56,3290301230,543421.49,117474.78,85669169.55,91684613.84,2505554.86,10100057.07,2506545.14,29369799,32562843.86,46427563,7701858.86,7203869.6,16980267769.92,94055814.69,9464922.82,9793609.74,291557.81,4106984.83,197864.27,19626909.14,1496382375.53,8319681.92,69218429.86,18259030.51,190546645.68,12059,4426307.07,258874.8,155386.26,14418,303791.98,24489607.92,25020.51,459711.16,392425.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",72555942.23,0,1011533285.1,12768.17,0,1096107038.02,1980794735.13,0,3089,1280931070.86,0,26960.87,1411.76,26575.57,185446192.01,2794,2135,0,1689789441.75,0,2266,0,2009950962.4,3992257.02,9184950.81,0,0,1991,4000,1511,703570,5398877330.63,0,6164,3919783512.88,13214580.43,14375,0,29900,1510,1229257607.1,233211,24424.46,1100131.88,2530,0,198464.39,559770821.66,4046,123878.66,91682.19,0,3475,0,14602.56,0,3122074,8351865.97,0,1246585863.16,0,13126.64,0,20989480490.89,3164106,0,0,42694785.93,8872,0,0,0,192477,21616959.22,1009,17036205.58,27220307.49,1405243023.84,819666.54,109776.84,0,0,0,0,549345.34,0,0,400097072.67,0,43381.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",87482023.92,14109377.82,1469759846.36,591172175.71,320668.43,11363672.64,208927846.93,767543789.86,473276.92,7298405358.25,1469915.65,1609155.23,159583.17,473160202.08,5983882209.26,48836933.95,0,4387,938251479.94,163495754.43,672245370.94,0,3045058035.96,354698729.75,1243433539.48,7542.1,0,602639.58,103577747.01,17607,2441170.26,3640888740.65,0,55929.8,337304512.65,78302860.6,28949.76,117209118.47,18149301.4,36680298.76,1483007586.34,14203818.81,4611276.3,40912029.68,0,48099.01,479549880.38,520103625.11,0,3553207356.41,5671692790.25,5161805.08,3474351.4,0,28453855.25,30305573.29,185035441.17,34434913.12,0,2229480762.14,58031.29,0,0,1496968527,2764497,0,0,24851573.45,183144030.86,448186.87,161854635.67,5494239,11885342,152133988.03,11197842.2,4934023.41,38547412.69,812481025.79,186428.54,298530990.41,188332005.31,743645.14,0,3015,2499991.14,685519.75,23433684.17,56253205.74,137131493.05,17166987.03,0,0,0,0,0,133389.88,30925778.21,0,0,2637101.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",87036.74,0,12894,4764.54,0,0,17681.54,212733,0,0,5943.05,0,0,0,33000,133140.93,0,10893279.7,16945.55,0,0,28969.22,93875.98,0,0,0,0,460074.23,0,0,0,26745,0,0,258189.69,0,0,0,78122.83,128684,0,0,36911.84,0,0,0,0,0,0,0,7709,0,2108,0,6981,3954,0,6103471.51,0,0,39149.7,0,0,120074,0,0,0,863510.27,0,5035,0,0,0,0,0,0,0,1372090.14,0,0,0,0,0,15279.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",507622942.47,7281.77,1622411.3,2496314.96,0,18442557.61,13183187.43,127968280.94,0,4682816531.21,3441150.49,42854,1225,1506440.68,188535733.43,91814365.37,0,20851,340322616.11,0,58067,0,1717799659.47,1685324911.57,1126458.81,0,0,62419711.9,125687.63,547084.04,0,202390290.32,0,38769,11269122589.95,466249423.27,11665880.82,101390.59,6334096.85,133562.46,2852817159.52,1381926,107216235.23,3272567900.65,178788.26,0,170698.01,16541422.71,0,1013580.1,15111904.85,183430547.47,3681455.3,0,38018.03,362817.69,673729.01,266542591.76,3986,77578672.42,64642638.73,26498917.63,0,6793463018.61,35247328,473496461.71,10333132.35,114389824.1,501625,413926.99,7900,40443775.87,6357445,1500741377.96,6245788.62,1535034.56,111026998.8,14210779802.01,160872487.99,0,0,0,382860.53,6019,742835.47,6091565132.09,909760.82,57326341.33,91184048.7,278943.28,0,27520.59,85853.2,4151.68,0,73589.59,55737734.2,0,0,20978.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",111925,204101,4099890.42,195872.94,4813,219815,4603392.44,1275605.23,9284,114125024.1,0,34387,34977.99,640602.41,48288859.42,4412204.57,6102.94,2491,8540094.84,39628,571277.97,0,33768308.29,62334729.3,234157,0,0,2974881.34,0,1304727,243415.3,11573135.5,0,94377.07,52331520.89,77566,3934,19112.98,264565,16407,8563294.45,1842925.21,156279.52,0,0,40031,14600210.12,2767353.74,0,1026333.61,1135220.68,999056.95,11730,0,272843.17,369869.57,566571.48,497375540.13,1439,697961,0,5355,6604,43782662.35,352880,0,39269,674150.34,0,138620.24,3600,0,0,43160,0,641587.55,0,17205221.43,0,0,0,5701,0,49867,73980,856308.4,926592.92,0,6468,8977.63,0,0,0,0,1008,0,205006268.82,0,66259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",7957165.82,15603,8320,56407.62,0,83294,20214260.05,563618.88,0,4983754.65,11308881.9,1962140.75,0,7253856.71,81341818.66,76727.82,12094.89,125732.67,2012084.05,0,390266.79,0,20628413.23,7269935.22,2799650.06,13885.08,0,1846452.82,0,22090.2,1000,11939735.14,0,0,19939906.44,171617.66,0,5836,801427.8,0,2173909.41,86610,66902.99,13988.28,0,0,130354104.72,93773.01,0,0,19267.2,0,0,0,0,4075456.65,3644.22,65722.32,0,3472149.34,8245436.45,319576.61,0,143484982.62,21074489,0,3175.6,6616,0,19694.62,0,0,0,0,0,137174.51,0,196752.41,17294648.97,0,521069,0,28148.2,4575.46,1262,578047.63,0,0,0,0,0,0,30562,15857.12,1050,57014.56,7302704.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",260752269.56,15934074.66,620621609.17,10876768.53,0,1298243238.14,12704.67,2899125186.48,0,2394584868.37,55567.22,7895047.47,4486,31195710.48,7658515070.67,16529079.23,14898,0,4354632896.87,0,21486595.9,0,4741150561.91,1616319434.18,2302209993.84,0,0,126644.53,0,216432663.5,0,20124798126.72,0,0,11624117.36,35946385,400002,0,9980445.92,732765.73,1147333391.15,860640,55627.06,677545.21,0,0,7018976.75,1366180804.02,2737,104989897.44,2719870.73,0,1490583,0,94533.18,124580960.76,96295198.58,15418411.06,7007,319283272.89,388586.54,427645.07,0,3959780577.12,319800,1692,0,2075,2771900.23,1400066.57,0,14413766.45,746399,245756526.26,18354902.92,26969869.06,2124067.55,8081855.32,102305.84,0,0,0,0,0,6118251.9,317860,193148141.05,112497062.21,1019308403.92,10500,0,331209,68276468.55,35581,0,1331,0,0,0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",43915451.7,77798509.75,108523444.83,51375326,106226.34,1057838715.71,129660297.82,67271083.67,1283319.15,312682516.18,81049011.44,26448416.53,1734628.67,71215556.84,658018965.03,8711665.49,401303.11,0,4130903032.17,5094298.47,39853409.59,704686.61,4170430462.59,845403065.48,66135945.33,111867.16,428262.66,115931432.73,5456628.84,36612369.08,3196195.02,875730807.26,13160,386896,160910291.71,43300323.67,1136540.67,5124380.69,170024286.85,1035547.1,347238377.35,119332738.38,352033192.28,476637136.49,1106349,31322555.52,260417824.9,100711057.15,2391.99,68348686.23,427703720.19,195977548.78,158582.07,881930.8,60411413.57,13950877.68,20119651.68,53484882.83,1214611.13,340064017.6,314963.17,70619.14,25557820.84,837132916.31,17240512.27,0,5103.89,165778028.5,4472442.68,2228465.42,17855545.57,806050.36,86593207,36953314.32,15644737.81,118576253.47,32143098.7,348600629.78,649981.73,128900.41,73087558.11,740148.63,10029690.98,3406862.54,98249962.39,131782248.67,19857130.52,42532262.77,86335619.76,224419.47,322823.18,4877318.67,6601947.77,0,16425.92,2210953.94,3067483.96,11777.08,7250835.57,19981386.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252312.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA",356140.83,23011,23487876.53,29292462.01,8803,13681699.13,2324993.47,3710598.52,0,2599668.79,349277.96,18768.39,0,22216554.84,163517856.55,143592.7,0,275982,4115743.23,2413528.28,1154218,0,50474951.4,33564486.82,17025224.95,0,0,219551.43,10306888.62,1197661.26,1709773.05,218051679.97,0,176917.96,2817016.89,17232890.54,117309,5039471.54,444000.93,3195514.38,17747913.56,1816631,67152,8314.99,0,40972,123390525.44,5494520.34,0,292013132.33,619320582.11,3531967.43,0,0,59609457.07,3797348.56,14453910.1,74375.06,0,67322652.58,0,0,2812,12229656.11,174587,4294,0,618785.48,5867218.26,2573718.18,90136070.04,30456587.05,1438352,0,6540024.25,8557345.59,1722542.24,4760289.74,0,3080957.76,6113904.44,193693.99,16201.62,14584,0,0,24175362.18,15609785.62,14321329.49,1218168.72,42180,1551.59,0,0,0,0,0,2624,64384,2098636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",50780052.11,12201876.81,14160596.91,376612.37,5689,1440988.4,660699.15,305157.26,212991,537894238.59,10919801.95,174678.72,0,1701940.48,101536762.7,1914766.59,0,0,55517692.76,486891.84,917887.38,137249.21,23454801.16,65510328.1,1228212.62,0,0,35050714.91,338000,175468.73,521352.56,6136067.72,0,13809,111167720.31,831466.57,6164884.42,41830.33,7980727.06,229842,10220698.95,1211956.48,1806065.48,44005908.12,0,149105,4237381.69,504525.58,16815,1140961.05,5784587.87,5308972.26,0,0,1209867.24,1771236.39,2409880.04,3152631026.2,0,19005942.32,0,0,717767.54,0,9202562,11638.65,0,17451783.44,0,496466.89,15853.05,606330,97826,1043597.42,0,1390950.16,610484.01,311522026.75,0,0,39390.16,80085.72,2197776.33,4667.84,12255289.91,83076163.04,1343378.23,394139.96,169541.92,1522,621080.02,0,106227,0,0,45391.63,30677338.85,0,98905.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,0,1326981,207748.84,0,1594,178437440.82,2093059.24,7755161,1445485403.05,0,0,3661,2888952.89,22047578.33,22314,14699,0,342068.84,0,3288,0,5540167.43,10569727.51,0,0,0,1119614,25703.95,234497.77,133000,47707157.69,0,4245,31045529.73,15499,31340.38,0,1876453,0,2058682.37,334640,96482.46,0,0,23671,98290.86,1122,0,200708.7,65882172.6,208000,0,24400.96,0,23010,176579,599101.48,0,1080480.93,94285.25,60426.8,4000,54133028.39,237889,0,0,115318.27,19325.02,3070,35625.15,0,22046,0,0,7705,0,34787310.33,0,3279024.72,71965.66,0,94456,0,0,247002.14,19116,0,56350.52,48099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",2695590.72,1877263.25,2677438.19,17242.03,2237,0,2247847.38,11549137.85,0,52283400.3,4164,0,38677.91,19911340.71,117375166.27,4991389.45,0,936838.15,286167731.6,0,25058362.03,16449,51135486.57,129379824.41,1215713.84,887262.29,0,10291449.51,206696.03,79502.49,42284.37,369406805.32,0,5352,2350008.42,5607374,0,0,118024.92,228392.15,26212141.5,6203242.37,527126.63,765883.23,0,0,23478286.65,46662112.47,0,94109.58,32282720.47,0,26085,0,29192.27,8397772.86,122612.34,38801907.16,0,10230394.63,16212829.15,135860.07,0,15755467.58,244418988,50727527,53082930.58,922244.7,0,13788.14,20569.04,6137,0,220074.5,14302,467919.51,0,31875656.44,3845199.1,0,684009.79,0,6451015.75,0,1109,1726789.34,974344.66,0,32287.94,0,0,1048947.34,0,434220926.43,0,0,8620944.02,0,0,21930.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",2356895.9,114654,4337,32268.86,0,2475,98277.14,53949.99,55181,955789201.76,110829341.33,45768,53098,18537.97,172437292.59,3026,1241,11113,174263665.89,445635.1,7174257.05,0,225298817.72,2266327.6,7366520.76,0,0,1637819.81,0,36938.58,12982.6,152121748.32,0,0,320805.04,1428278.63,0,35784.45,310815.25,4789,34862135.93,4943603.93,20680,199995.86,0,38177,218832.32,766690.93,0,0,47990651.53,0,2421,0,15882.13,6035.96,0,3444249.81,1719,7171624.81,0,4342,3814,43554135.9,2395274.56,0,0,48953,0,6434,435465.23,152042,13211772,5759513.6,1410.3,173452.71,100911.43,110806613.42,0,0,609481.38,46049.62,13128,112118.57,470711.8,0,11460,123713.7,3131751.19,183224.69,0,0,21675,0,4060,947727.1,6450459.13,0,8621,2104801.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23061.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",3457388965.81,394335693.02,455807061.41,104154287.34,7381607.48,1624121760.97,2073775806.06,365685942.25,195170009.67,19442742033.71,20683633.6,173264899.16,50101984.12,924443511.88,6432785528.84,337263152.11,16011519.59,21678140.55,1141365092.05,71102130.35,429361915.02,37626636.33,2635978712.7,3733197310.92,176008079.8,20205649.51,6863639.26,5277944970.6,463934619.61,513233134.14,84617142.49,1120595514.99,16120176.96,121669584.31,9466733617.44,124333758.71,344174084.32,9769988.06,3284085743.14,15454249.78,7089215035.13,345230108.8,1344192426.14,1612601222.38,127660653.38,158891339.51,627034997.38,195422262.16,63263763.79,93868640.28,1939263993.8,586345073.31,41724497.34,20503361.49,276844918.42,68774965.05,506054519.38,8001854431.06,35269639.01,1474963015.84,154283157.75,138329734.65,20006605.25,21964711991.85,1037721213.17,5687204.03,1134255.06,6654274762.59,34939720.11,16389490.61,77965901.18,36706292.21,181543089,540022035.62,194023985.29,81155345.84,114604858.51,20141840968.76,65099327.36,3881577.49,19346580.51,2832834.59,115568100.05,14368779.51,16222497.36,23529610053.46,79592795.39,188307098.6,58794383.77,14218010.16,66114613.25,35076747.64,45051749.23,13583094.63,15756056.97,6192355.03,2206573255.71,513060.52,11580542.84,10696573.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095328.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",25917.66,0,73975.9,0,3579.12,189737.02,527982.75,829488.85,0,63985.85,549191.73,78884.11,0,281393.71,1883000,12539.19,1200,0,982405.48,7199,20924,29572,51177239.26,499310,99975.03,0,0,183546,1288000,402810.27,0,45795,0,5837,1646766.96,10466.08,0,3215,906573.68,0,15373892.97,0,55223.16,0,0,7370.17,986599.69,747826.22,394768.04,0,0,0,55072401.48,15115.9,15631,298095.97,230757.63,176403.91,0,2246797.61,433121.96,59066.92,0,40291152.9,300383,306989.36,23572,5734593.03,0,1443.55,0,0,400817,0,106410.88,21061,0,311429.64,348403.03,0,0,0,4505.1,18637,3010,0,27688.91,0,8648,2860,14862,0,0,65350,0,97437.02,0,173495,0,161782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104273.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
