"","BEL","CHN","COL","DEU","DNK","ESP","FIN","FRA","GBR","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PHL","PRT","PRY","USA","ARE","AUS","AUT","BOL","BRA","BRB","CAN","CHE","CHL","CYP","ECU","EGY","GRC","GRL","HUN","IDN","IND","ISL","JPN","KOR","LKA","MEX","MLT","NOR","PAK","PER","POL","SAU","SGP","SWE","THA","TUR","ZWE","ARG","NGA","VEN","HND","MAC","TUN","AFG","BGD","BGR","BHR","BHS","CIV","COD","CRI","CSK","CUB","DJI","DOM","DZA","ETH","FJI","GHA","GLP","GUF","IRN","JAM","JOR","KEN","KWT","LBN","LBY","MAR","MDG","MMR","MOZ","MUS","NER","NPL","OMN","PAN","PNG","PRK","QAT","ROU","RWA","SDN","SEN","SOM","SUN","SYR","TTO","TZA","VNM","YUG","ZAF","ZMB","AGO","ALB","BEN","BMU","CMR","COG","GAB","GIB","GIN","GUY","HTI","IRQ","ISR","KHM","KNA","LBR","MRT","MWI","NIC","SLV","SUR","TGO","URY","ATF","BDI","BFA","BLZ","CAF","FLK","GMB","GNB","GNQ","KIR","LAO","MLI","MNG","NCL","SLE","SYC","TCD","UGA","WSM","SHN","SPM","ABW","TKL","TLS"
"CMR",22477348,16392511,24578,182834165,1668298,158584486,1007791,524640991,9572311,0,564911,182151,177474192,710549,177526702,62530,0,21857678,0,126507098,0,315006,5658676,0,0,0,2803463,6391763,0,25783,0,533384,8852212,11825,14806014,2312161,0,0,7603681,25061038,0,133758,122211,3922,51146,926,19504,68960,1277787,648136,1248723,2728781,23131,16150,2277279,1288139,0,0,1521448,0,0,0,0,0,0,0,10999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35723770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",151711379,3590003,0,42033629,1861825,80968609,42679,145510300,3884035,0,218204,0,169421536,0,5734449,0,0,30165206,0,405253136,0,0,126682,0,0,0,3322255,1055728,0,69763,0,0,4277587,0,284036,3813,0,0,1586748,22258,0,3158,0,5126238,0,0,0,0,0,662110,521492,870114,74133,720417,3734,26678,0,0,53553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14666283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",15040826,44551274,0,93597473,97320,23260714,0,803796266,5070443,0,741193,22122,63283439,111758,176099619,0,0,20119896,0,698427655,0,0,459713,1327,0,0,40780,486131,153160403,602843,0,567252,45748053,0,120191,2549179,0,0,138558144,1398794,0,3893759,0,17711397,18039,112572,0,0,9328247,239984,137770,15124282,16886,5618,704196,0,0,0,706955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328101,179975,0,5506,0,0,0,0,0,16577615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27480607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",1158795,168734,0,6300053,410999,8927565,0,321111,6699551,40365,4962272,21117,3551830,0,1304095,36638,0,877832,0,707611,0,84628,52699,0,0,19199,0,551774,0,104164,0,586776,4799,0,0,0,0,0,14303,319950,6430,82390,0,6678270,17047,0,64416,77644,10407,46903,244198,0,4168,38617,21070,0,0,0,121797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,6213,0,0,0,0,0,16559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486496,0,0,0,0,0,0,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",78108268,55751,0,29429956,109035,75003145,14029,43505762,645987,0,749788,75305223,31368879,5901,1095935,0,0,1876521,0,148230103,0,0,199450,8441,0,13652,13367355,1143894,29735,0,0,139218,1210,0,469908,0,0,0,1636571,1537833,11779,0,0,32769313,15096,0,0,0,0,940,0,816156,1918,4650,334547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,0,0,0,368401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",2104158,0,115033,6395679,29992,3640449,0,10115929,75647469,1079,53949,137513,5513189,12173,10735343,1068000,0,1770013,0,89398367,0,345399,336746,0,0,4856514,24828366,89583,697734,0,0,0,3111,0,12996,813762,0,0,16340312,1053431,0,778704,5786,96177,11137,317685,2918,0,0,595066,0,0,0,6899,769449,9903417,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3408167,0,0,0,0,0,811409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",1972799,0,0,7141753,393417,894968,132665,7947150,1911673,26884,0,48858,7883425,0,680895,496,0,4798,0,267695257,0,157275,149038,13048,5103,65845,8934778,672304,0,0,174501,0,7287,0,72102,0,0,0,1207477,5596,0,385105,32130,80530,22471,478,14605,0,0,469082,0,0,2328,34813,0,134554,0,0,0,0,0,0,0,0,0,0,22007,0,0,0,0,0,0,0,0,328313,10415,0,7795,0,0,0,0,0,24992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",68983,246833,68632,2310174,51965,0,0,64310,4023813,0,0,9673,16419918,0,16589,0,0,46552,0,5843659,0,0,0,11246,0,0,115929,1183,0,415507,0,207471,7653356,0,0,531065,0,0,185488,325053,68913,19177,877,50345,238106,22067,0,80066,0,117281,0,446597,0,79595,42669,93457,1493,0,5398,0,0,0,0,0,0,0,4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",695548535,22934141,27182794,834201865,48917358,198788010,36425261,599515000,723227935,6134189,464615524,40530088,444497393,0,389597249,17637872,86712826,41532635,2112486,3313730174,0,109899190,66147609,728058,78155334,239921,102038094,230636970,42690070,20046630,17002145,6977382,117526985,74544,32907264,0,80103680,1857413,678211171,71766698,7391561,25199773,91452,47564659,0,20396991,26151782,0,70683351,70665683,112485882,76299169,0,21536578,32066738,35131297,747034,471763,0,0,0,5096748,0,739608,3201724,1831583,5807739,5110041,0,0,1097018,0,863236,2575054,2531339,1035603,113239,0,641127,0,18278714,0,0,0,0,0,3076706,0,636663,861760,1541,0,12452514,0,0,0,29035575,0,0,14678,0,17713103,0,508676,239952,0,31588924,98020355,1170808,0,0,0,108274,1787813,15474,886215,196899,46326,1936,1840574,0,0,0,184882,8600000,0,514355,788795,1254664,41846,40707,4799069,0,0,0,0,33239,0,1908,0,634968,0,0,1092149,0,0,0,0,0,39576,0,0,0,0,0,0
"KHM",0,431971,0,14946271,47214,7740,0,2556442,45986,0,179192,0,16523,9128539,53374,0,0,46325,0,0,0,38945,347966,0,0,0,1041767,37776,0,0,1221,849060,0,675,239397,831269,0,0,4877020,0,37468,70679,0,0,111340,4164,0,140923,0,59639,10469750,0,0,105000,33954,100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3771,0,0,0,0,0,0,0,0,0,2072188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,15780,0,0,0,28207,10206777,0,6446,1169,11665,1154,0,0,0,7734,0,14641393,0,2623,183775,0,0,304459,66973,2234,0,0,0,0,0,0,0,0,0,0,67281,0,0,0,0,0,0,0,0,0,0,21061,0,0,0,54557,0,955144,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,104125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",139207891,1867,61393,9579937,132924,44962512,498,41005364,1528040,0,0,64647,16449548,24940306,3705354,0,0,5577592,0,9274678,0,4446,23803,0,0,0,12334,241046,0,0,0,0,1517314,0,982,80625,0,0,5005829,716929,0,5121766,91636,375076053,15165,136518,0,0,107105,63216,36119,1062012,0,112921,97327,0,0,0,12339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",52514988,0,0,10539021,0,49222941,0,49222472,24216130,0,4703,6264,102395303,0,1651725,0,0,345987,0,11454252,0,926,15494,7779,0,0,3808,52739,3945,3358,0,0,4244618,0,0,64959,0,6420,112568789,890046,0,53263,0,0,1493239,0,0,0,0,27468,16590,0,225575,2421,26506,0,0,0,529635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3529,0,738,0,0,0,0,0,0,0,0,487493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",4539823,649544,0,62079529,5437154,18482871,2969917,10403826,40285017,110052,534313,654825,3330617,377537,34873189,1391990,0,4706695,0,70320633,0,8069448,1107210,0,0,47882,1008213,8736008,6385,78711,0,8923830,1221366,0,10674,128642,0,0,68399632,1863,0,4764122,12639,1582903,6275731,3022,3295,0,0,2210574,819635,0,2601070,762,182483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279189,0,22940,0,0,80242,0,16168,0,0,0,3150192,0,0,0,84794,0,0,0,0,0,0,0,0,0,0,65667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",2002203,0,541166,51223563,3303494,7003847,759242,9076818,774671,5567571,296757,908240,28885767,6047,5268257,26878,0,829781,0,58784188,0,386350,10375736,21671,0,701,36708095,3717007,0,0,560,0,224744,0,3165430,3329879,0,37072,37342485,1372588,0,12734747,0,992843,10440,4069,1521078,125622,0,356114,47293,34560,1468,144795,0,21149,7919767,0,0,0,0,0,0,0,0,0,10517181,0,0,0,0,0,0,1413,0,3712,0,0,96220,0,0,0,0,0,80681,0,0,0,0,0,0,0,445163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22620,0,0,0,0,0,0,9543808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",821683,207415,445794,97263079,2125716,6113103,795179,8782545,6425835,88693454,222861,10177,3309465,0,15071014,32627,3060,142034,177427,289746415,0,537285,9397059,4611,0,25971,12464892,1930978,474113,0,90191,0,665647,0,995034,0,0,116423,15795707,1056469,0,17447034,0,719433,0,197643,10061,0,0,995998,0,4431,0,518874,0,189171,18729161,0,0,0,0,0,0,0,0,0,46282138,0,0,0,0,0,0,0,0,23540,7389,0,170724,0,0,0,0,0,0,0,0,0,0,0,0,0,3799208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441047,0,0,0,0,0,11437693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",1398489,0,0,25531488,32722,7832425,5461,20718647,15331367,0,1333991,139364,36687,0,74058930,0,0,3972008,0,49522841,0,0,39280,8823,29158520,0,317960,422747,21830,0,68825,0,0,0,0,0,0,1291,17686611,140208,0,721042,0,110532931,1348,0,95779,0,0,2172753,5588,0,0,25319,0,55500,0,0,21505,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,141842,105915,0,170296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",8012145,5435508,0,3883002,4645775,17613577,37778,23249404,2608878,0,1327455,9417,14219826,4539704,2627543,0,8656284,5482232,0,2825222,0,979196,123922,0,0,0,23764808,8323234,27723,534,0,0,6576035,0,0,272367,6506963,0,554112,483578,0,15213945,0,1787,2104,0,4002581,0,0,1098827,9486368,14294,0,0,10971102,0,0,0,1609502,0,0,0,0,0,0,0,2744,0,0,0,0,0,0,557,0,0,0,0,523,0,0,0,0,0,2125188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",12657308,106730501,9366608,130459577,3677338,29011240,1130900,58664490,76129865,106303,36404972,817207,74468796,186751,29420963,20644,563599,3894234,9991426,227946444,0,4130277,11798305,2857455,297645213,666979,16237892,10174075,18928308,589740,1613637,3347215,3286706,3094,1732091,320088,957481,114798,22872398,12043756,0,30707231,1942892,3658150,0,9839456,13521356,24558051,8437756,8063580,2289968,1326812,30463,153870458,15046,6507270,103673,4304,11730,0,0,0,0,0,0,0,1203470,0,0,0,0,1062288,0,0,0,109818,0,0,563256,0,58422,0,0,0,1975182,0,0,0,0,0,0,93769,36606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45414850,0,0,0,0,0,1664,10209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",28908825,0,0,23151244,535078,2116251,1574591,6199207,3708802,0,0,250704,2905503,41114,9665111,0,0,72003,0,8093551,0,0,264296,7146,0,0,79500,1857078,62229,0,15214,0,125046,7193,0,0,0,574,1620859,4145,0,0,0,35343,1230465,0,6797,0,0,1139566,0,0,368305,0,10903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",800155,29835827,14470,1206236,9238,3062272,5611,29993222,446572,0,3310,147731,16862906,1793560,392419,0,0,19576746,0,533797,0,1445,624175,203850,0,0,10546,98760,0,3311,0,0,0,0,598329,584176,0,0,2092592,0,0,33158,0,0,0,15131,46087,0,0,24195,16422909,0,7289,0,277716,0,0,0,850577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",33570,0,0,1062066,27709,147313,1169,1851490,32631207,89137,762384,3208,160954,170880,369920,0,0,0,0,42896744,0,1767,0,0,0,1284591,5835438,591,18613,0,17493,0,0,0,0,0,0,0,800858,1422899,0,4925715,0,0,0,3538,0,0,0,17254,4261304,0,27998,0,0,900564,205217,0,444,0,0,0,0,0,0,0,4822,0,0,0,0,0,0,21635,0,49520,0,0,2367978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",71266671,1543908,0,1292253,67338,11600893,0,7715453,58720,0,21014,1620733,3691458,397874,772003,0,0,1573715,0,709052,0,0,303303,0,0,0,183983,575999,0,0,0,0,137578,0,2214,635834,0,0,268066,636660,0,2788,0,0,0,0,1133,0,0,0,0,2835785,0,0,17043,0,4494,0,441385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78943,0,0,0,0,0,0,0,0,662005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",4671,0,0,628160,26836,2703191,0,197739,4584643,0,0,0,1022083,17315,29165,2654,0,637610,0,479388,0,0,1890,0,0,0,0,0,0,27274,0,0,0,0,3818,0,0,67793,875490,1958255,0,0,0,885387,8679,0,0,0,0,68657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",93343919,18043,41456,248333,37186,3143839,1516,4334236,4494146,0,3525488,18559,878223,388083,41675,0,0,1075300,0,1958629,0,0,1125,0,0,0,31287,2675696,15010,0,0,0,82283,0,0,0,0,0,37211707,46581,0,0,0,14270,54577,0,0,0,0,145731,145396,0,2581,0,43947,0,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",0,201847,0,335632,5148,1006518,0,782003,52774,0,0,0,675054,0,258158,0,0,4054385,0,77882,0,0,0,13319,0,0,0,8118,0,0,0,0,0,0,69538,0,0,0,62154,61668,0,144519,0,0,6859,0,0,0,0,11433,1400901,0,0,0,535661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",696588,44631,0,3151674,0,16815630,0,2482883,53949,0,0,16559,5288395,0,4647894,0,0,1184867,0,245512,0,0,0,10718,0,0,0,29492,0,0,0,0,0,0,0,0,0,0,6095,0,0,0,0,0,12073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",0,0,0,336648,0,0,0,0,13987,0,31839,1731,494192,0,0,1736,0,0,0,582283,0,33461,0,0,0,0,0,0,0,0,0,0,0,0,73414,0,0,0,4031,4361716,0,0,0,0,0,0,32412,0,0,49494,0,0,5504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99377,0,0,0,0,17985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",471369,2001957,0,8478515,1194004,183805,717,8087538,61729,0,109626,1302,842594,132249,1651119,0,104442,34301,0,1876019,0,54628,627850,0,0,0,572812,120843,0,0,0,0,13913,0,19029,2699,0,0,3988831,0,0,34887,10295,424772,134393,0,0,0,0,96135,43564039,0,0,0,330558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",39929561,34709413,1073,10711525,29812,1880288,19901,7703897,2545606,0,2292,14691811,5683457,1224294,693525,8892,0,2661086,0,1653582,0,910,19211,2779,0,0,6153794,655622,144497,0,0,0,0,0,1226,8437153,0,13128,5129054,6208746,10597,0,0,5376,0,1660,10108,0,0,312254,31353462,0,50000,0,1367199,0,0,0,3339890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52828,0,0,2434,0,0,0,0,0,0,2570,77183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",96923,18342265,0,3536043,0,20458,2566,2596214,2303725,0,213044,0,6926838,5683,134820,10862,0,63964,0,1099193,0,0,187060,10532,0,0,0,325311,8355,0,0,3358,0,0,778590,0,0,0,19600543,380906,0,0,0,0,114371,0,55606,0,0,43989,0,0,776,0,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",1413844,0,0,37977732,30252,24062206,0,111381722,31026,0,2455591,0,16848293,2109,102204,153088,0,0,0,19621196,0,15396162,7599,0,0,0,112877,452362,0,10218,0,0,0,0,220279,0,0,0,156932590,31677729,10088,364598,0,0,268197,0,39742,0,278450,8422741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30221,0,3974,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",108278619,0,942093,35160744,179490,12395010,19962,4606013,8462927,0,14402,38909,2015926,7732,14160011,0,0,723525,0,45736525,0,3751,303775,0,0,0,11364934,99860,0,0,0,461522,274431,0,27620,1727,0,0,1938704,494270,3449,0,11528,79354,7669,0,314527,0,0,33437,85005,0,64455,0,89751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,0,0,0,25855,0,0,0,0,1008490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",185775,0,0,476510,30164,1040936,0,5184882,7966163,0,162128,240576,39088633,49484,5031,2274,0,18312,0,834817,0,42907,15766,0,2213,0,34811,46133,4431,0,0,0,18010,0,954,0,0,0,371932,302175,236742,0,0,18104,362978,0,105440,0,1249075,70590,35815726,0,66644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",644130,11330348,16670,12480147,72215,5126098,0,5540160,2358028,0,0,142002,2665091,323492,37624,0,0,26042841,0,225098,0,3966,845211,0,0,0,0,14228,1703,0,0,0,534,0,4949,0,0,0,9165233,1268,0,143876,1132,0,65193,99628,0,25035,0,1481,3951776,0,0,0,1817560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6531,0,0,11582,0,0,0,0,0,4013144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
